ID,sentiment,content
10941,anger,"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes"
10942,anger,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless
10943,anger,This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards
10944,anger,@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜
10945,anger,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ  #soreloser
10946,anger,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ #bitter #soreloser
10947,anger,wanna go home and focus up on this game . Don't wanna rage at all
10948,anger,@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” #furious
10949,anger,@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” 
10950,anger,I wanna see you smile I don't wanna see you make a frown
10951,anger,@shae_caitlin ur road rage gives me anxiety.
10952,anger,@eMilsOnWheels I'm furious ðŸ˜©ðŸ˜©ðŸ˜©
10953,anger,@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -
10954,anger,They gonna give this KKk police bitch the minimum sentence..just wattch #angry
10955,anger,They gonna give this KKk police bitch the minimum sentence..just wattch 
10956,anger,I just got murdered in madden. ðŸ¤•
10957,anger,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©
10958,anger,@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction
10959,anger,new madden 16 video was gonna be up but xbox is being an ahole and not going through ðŸ™„ðŸ™„ #struggles
10960,anger,"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does."
10961,anger,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry
